Distribution of world languages by number of first-language speakers,,,,,,,,,
Population range,Living languages,,,number of speakers,,,,,
,count,percent,cumulative,total,percent,cumulative,,,
"100,000,000 - 999,999,999",8,0.1,0.10%,"2,709,546,730",40.78777,40.79%,,,
"10,000,000 - 99,999,999",82,1.2,1.30%,"2,609,446,190",39.28092,80.07%,,,
"1,000,000 - 9,999,999",307,4.3,5.60%,"948,917,508",14.28439,94.35%,,,
"100,000 - 999,999",956,13.5,19.10%,"305,209,791",4.59443,98.95%,,,
"10,000 - 99,999","1,811",25.5,44.60%,"61,803,881",0.93036,99.88%,,,
"1,000 - 9,999","1,980",27.9,72.50%,"7,630,091",0.11486,99.99%,,,
100 - 999,"1,064",15,87.40%,"470,472",0.00708,100.00%,,,
Oct-99,329,4.6,92.10%,"12,268",0.00018,100.00%,,,
1-Sep,144,2,94.10%,584,0.00001,100.00%,,,
0,219,3.1,97.20%,0,0,100.00%,,,
Unknown,199,2.8,100.00%,,,,,,
Totals,"7,099",100,,"6,643,037,515",100,,,,
,,,,,,,,,
Languages with at least 50 million first-language speakers,,,,,,,,,
rank,language,,primary country,,total countries,,speakers (millions),,
1,Chinese [zho],,China,,37,,"1,284",,
,,"Chinese, Gan [gan]",,China,,1,,21.7,
,,"Chinese, Hakka [hak]",,China,,13,,47.8,
,,"Chinese, Huizhou [czh]",,China,,1,,4.6,
,,"Chinese, Jinyu [cjy]",,China,,1,,46.1,
,,"Chinese, Mandarin [cmn]",,China,,14,,898,
,,"Chinese, Min Bei [mnp]",,China,,2,,10.9,
,,"Chinese, Min Dong [cdo]",,China,,6,,9.11,
,,"Chinese, Min Nan [nan]",,China,,11,,48.3,
,,"Chinese, Min Zhong [czo]",,China,,1,,3.1,
,,"Chinese, Pu-Xian [cpx]",,China,,3,,2.56,
,,"Chinese, Wu [wuu]",,China,,1,,80.1,
,,"Chinese, Xiang [hsn]",,China,,1,,36.6,
,,"Chinese, Yue [yue]",,China,,13,,72.9,
2,Spanish [spa],,Spain,,31,,437,,
3,English [eng],,United Kingdom,,106,,372,,
4,Arabic [ara],,Saudi Arabia,,57,,295,,
,,"Arabic, Algerian Spoken [arq]",,Algeria,,2,,29.3,
,,"Arabic, Chadian Spoken [shu]",,Chad,,4,,1.56,
,,"Arabic, Eastern Egyptian Bedawi Spoken [avl]",,Egypt,,4,,1.92,
,,"Arabic, Egyptian Spoken [arz]",,Egypt,,1,,64.5,
,,"Arabic, Gulf Spoken [afb]",,Kuwait,,10,,7.45,
,,"Arabic, Hijazi Spoken [acw]",,Saudi Arabia,,2,,14.1,
,,"Arabic, Libyan Spoken [ayl]",,Libya,,3,,4.8,
,,"Arabic, Mesopotamian Spoken [acm]",,Iraq,,4,,15.4,
,,"Arabic, Moroccan Spoken [ary]",,Morocco,,3,,23.3,
,,"Arabic, Najdi Spoken [ars]",,Saudi Arabia,,4,,4.49,
,,"Arabic, North Levantine Spoken [apc]",,Syria,,3,,26.1,
,,"Arabic, North Mesopotamian Spoken [ayp]",,Iraq,,3,,8.59,
,,"Arabic, Omani Spoken [acx]",,Oman,,4,,2.31,
,,"Arabic, Sa’idi Spoken [aec]",,Egypt,,1,,22.4,
,,"Arabic, Sanaani Spoken [ayn]",,Yemen,,2,,7.85,
,,"Arabic, South Levantine Spoken [ajp]",,Jordan,,4,,8.44,
,,"Arabic, Sudanese Spoken [apd]",,Sudan,,3,,28.9,
,,"Arabic, Ta’izzi-Adeni Spoken [acq]",,Yemen,,3,,7.51,
,,"Arabic, Tunisian Spoken [aeb]",,Tunisia,,1,,11.6,
5,Hindi [hin],,India,,5,,260,,
6,Bengali [ben],,Bangladesh,,4,,242,,
7,Portuguese [por],,Portugal,,13,,219,,
8,Russian [rus],,Russian Federation,,19,,154,,
9,Japanese [jpn],,Japan,,2,,128,,
10,Lahnda [lah],,Pakistan,,6,,119,,
,,"Hindko, Northern [hno]",,Pakistan,,1,,1.88,
,,Pahari-Potwari [phr],,Pakistan,,2,,3.54,
,,"Punjabi, Western [pnb]",,Pakistan,,2,,92.7,
,,Saraiki [skr],,Pakistan,,2,,20.1,
11,Javanese [jav],,Indonesia,,3,,84.4,,
12,Korean [kor],,South Korea,,7,,77.2,,
13,"German, Standard [deu]",,Germany,,27,,76.8,,
14,French [fra],,France,,53,,76.1,,
15,Telugu [tel],,India,,2,,74.2,,
16,Marathi [mar],,India,,1,,71.8,,
17,Turkish [tur],,Turkey,,8,,71.1,,
18,Urdu [urd],,Pakistan,,6,,69.1,,
19,Vietnamese [vie],,Viet Nam,,3,,68.1,,
20,Tamil [tam],,India,,7,,68,,
21,Italian [ita],,Italy,,13,,63.4,,
22,Persian [fas],,Iran,,30,,61.9,,
,,Dari [prs],Afghanistan,,3,,8.99,,
,,"Persian, Iranian [pes]",Iran,,7,,52.9,,
23,Malay [msa],,Malaysia,,16,,60.8,,
,,Banjar [bjn],,Indonesia,,2,,3.5,
,,Indonesian [ind],,Indonesia,,1,,23.2,
,,Malay [zlm],,Malaysia,,3,,16.1,
,,"Malay, Central [pse]",,Indonesia,,1,,1.59,
,,"Malay, Jambi [jax]",,Indonesia,,1,,1,
,,"Malay, Kedah [meo]",,Malaysia,,2,,2.6,
,,"Malay, Pattani [mfa]",,Thailand,,1,,1,
,,Minangkabau [min],,Indonesia,,1,,5.53,
,,Musi [mui],,Indonesia,,1,,3.1,
,,,,,,,,,
Distribution of world languages by area of origin,,,,,,,,,
Area,Living languages,,number of speakers,,,,,,
,Count,Percent,Total,Percent,Mean,Median,,,
Africa,"2,144",30.2,"887,310,542",13.4,"413,858","29,000",,,
Americas,"1,061",14.9,"50,704,628",0.8,"47,789","1,110",,,
Asia,"2,294",32.3,"3,981,523,335",59.9,"1,735,625","12,000",,,
Europe,287,4,"1,716,625,664",25.8,"5,981,274","36,400",,,
Pacific,"1,313",18.5,"6,873,346",0.1,"5,235",970,,,
Totals,"7,099",100,"6,643,037,515",100,"935,771","7,000",,,
,,,,,,,,,
,,,,,,,,,
Major language families of the world,,,,,,,,,
Language family,living languages,number of speakers,,,,,Countries,,
,count,percent,total,percent,mean,median,,,
Afro-Asiatic,366,5.16,"444,845,814",6.7,"1,215,426","20,150","Algeria, Bahrain, Cameroon, Chad, Cyprus, Egypt, Eritrea, Ethiopia, Georgia, Iran, Iraq, Israel, Jordan, Kenya, Kuwait, Libya, Mali, Malta, Mauritania, Morocco, Niger, Nigeria, Oman, Palestine, Saudi Arabia, Somalia, Sudan, Syria, Tajikistan, Tanzania, Tunisia, Turkey, United Arab Emirates, Uzbekistan, Yemen",,
Austronesian,"1,224",17.24,"324,883,805",4.89,"265,428","3,500","Brunei, Cambodia, Chile, China, China–Taiwan, Cook Islands, East Timor, Fiji, French Polynesia, Guam, Indonesia, Kiribati, Madagascar, Malaysia, Marshall Islands, Mayotte, Micronesia, Myanmar, Nauru, New Caledonia, New Zealand, Niue, Northern Mariana Islands, Palau, Papua New Guinea, Philippines, Samoa, Solomon Islands, Suriname, Thailand, Tokelau, Tonga, Tuvalu, United States, Vanuatu, Viet Nam, Wallis and Futuna",,
Indo-European,440,6.2,"3,077,112,005",46.32,"6,993,436","166,000","Afghanistan, Albania, Armenia, Austria, Azerbaijan, Bangladesh, Belarus, Belgium, Bosnia and Herzegovina, Brazil, Bulgaria, Canada, China, Croatia, Czechia, Denmark, Egypt, Faroe Islands, Fiji, Finland, France, Germany, Greece, Iceland, India, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Jersey, Latvia, Lithuania, Luxembourg, Macedonia, Maldives, Myanmar, Nepal, Netherlands, Norway, Oman, Pakistan, Peru, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Suriname, Sweden, Switzerland, Tajikistan, Turkey, Ukraine, United Kingdom, United States, Vatican State, Venezuela",,
Niger-Congo,"1,526",21.5,"458,899,441",6.91,"300,720","29,000","Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Comoros, Congo, Côte d’Ivoire, Cuba, Democratic Republic of the Congo, Equatorial Guinea, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Malawi, Mali, Mayotte, Mozambique, Namibia, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Swaziland, Tanzania, Togo, Uganda, Zambia, Zimbabwe",,
Sino-Tibetan,452,6.37,"1,355,708,295",20.41,"2,999,355","15,000","Bangladesh, Bhutan, China, India, Kyrgyzstan, Laos, Myanmar, Nepal, Pakistan, Thailand, Viet Nam",,
