Rank,Label,Language,L1 speakers,L2 speakers
2,English,English [eng],371,611
3,Hindi,Hindi [hin],329,215
6,Malay,Malay [msa],77,204
1,Chinese,Chinese [zho],897,193
10,French,French [fra],76,153
5,Arabic,French [fra],290,132
7,Russian,Russian [rus],153,113
4,Spanish,Spanish [spa],436,91
16,Swahili,Swahili [swa],16,91
11,Hausa,Hausa [hau],85,65
15,Persian,Persian [fas],60,61
14,German,"German, Standard [deu]",76,52
8,Bengali,Bengali [ben],242,19
17,Telugu,Telugu [tel],80,12
9,Portuguese,Portuguese [por],281,11
